date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2027-09-10,274.07483,113.6947,0.2018,125.4963,208.9804,54.0347,36.6988,2608.7445,1569.4596,8.9611,98.8864,148.27,13.786,100.0,5628.0,74.71,107.9882,7.173
2027-09-17,276.84124,114.8423,0.2072,122.1021,197.3613,51.1683,33.2171,2536.9422,1643.0394,7.6902,100.8112,148.27,13.786,100.0,5628.0,74.71,103.8512,7.3126
2027-09-24,275.17742,114.1521,0.2599,117.464,203.0858,49.4589,33.5392,2734.1726,1636.5448,9.2487,100.3066,148.27,13.786,100.0,5628.0,74.71,101.384,7.276
2027-10-01,280.80444,116.4863,0.2495,109.4422,199.8157,50.9414,34.9112,2650.1859,1704.0586,6.964,101.1558,148.27,13.786,100.0,5628.0,74.71,103.5236,7.3376
2027-10-08,277.26022,115.0161,0.2528,111.4148,204.8603,52.6546,37.8471,2716.3294,1738.5861,6.8842,99.9491,148.27,13.786,100.0,5628.0,74.71,105.9963,7.25
2027-10-15,278.86792,115.683,0.2646,115.7166,205.9935,54.0629,37.2725,2808.0698,1732.8476,6.3862,100.6056,148.27,13.786,100.0,5628.0,74.71,108.0289,7.2977
2027-10-22,277.98643,115.3173,0.2162,116.9496,202.0292,58.2257,34.8963,2793.9058,1700.4598,8.0574,100.7585,148.27,13.786,100.0,5628.0,74.71,114.0372,7.3088
2027-10-29,282.23262,117.0788,0.2246,109.9984,206.9166,60.7323,35.0353,2896.0897,1651.1552,7.4215,98.9601,148.27,13.786,100.0,5628.0,74.71,117.6549,7.1783
2027-11-05,287.84579,119.4073,0.2001,107.8244,219.5452,66.6715,33.7177,2861.9185,1631.3891,5.9774,98.3082,148.27,13.786,100.0,5628.0,74.71,126.227,7.131
2027-11-12,289.27457,120.0,0.2488,98.7391,209.0235,62.5875,35.4855,2849.1106,1574.3494,8.6642,97.8416,148.27,13.786,100.0,5628.0,74.71,120.3324,7.0972
2027-11-19,285.92716,118.6114,0.26,95.9375,204.5633,60.3268,34.0673,2797.6955,1657.7403,10.8854,97.443,148.27,13.786,100.0,5628.0,74.71,117.0697,7.0683
2027-11-26,289.27457,120.0,0.2889,92.9269,198.7954,69.3395,36.5375,2731.0302,1669.83,10.2671,97.8651,148.27,13.786,100.0,5628.0,74.71,130.0776,7.0989
